Class                            Step     Epot[eV]   AcptRate
Canonical                           0   -2794.7316      0.000
Canonical                           1   -2794.6582      0.857
Canonical                           2   -2794.3630      0.714
Canonical                           3   -2794.4315      0.143
Canonical                           4   -2794.4905      1.000
Canonical                           5   -2794.2514      0.571
Canonical                           6   -2794.2389      0.857
Canonical                           7   -2794.4787      0.429
Canonical                           8   -2794.4021      0.857
Canonical                           9   -2794.3454      0.571
Canonical                          10   -2794.2922      0.429
Canonical                          11   -2794.3118      0.571
Canonical                          12   -2794.2101      0.286
Canonical                          13   -2794.0177      0.429
Canonical                          14   -2793.8877      0.571
Canonical                          15   -2793.8567      0.286
Canonical                          16   -2793.9426      0.571
Canonical                          17   -2794.3385      0.714
Canonical                          18   -2794.4200      0.857
Canonical                          19   -2794.4338      0.286
Canonical                          20   -2794.4931      0.571
Canonical                          21   -2794.5769      0.857
Canonical                          22   -2794.5390      0.429
Canonical                          23   -2794.4875      0.714
Canonical                          24   -2794.3509      0.571
Canonical                          25   -2794.2548      0.714
Canonical                          26   -2794.3955      0.714
Canonical                          27   -2794.5084      0.714
Canonical                          28   -2794.3484      0.571
Canonical                          29   -2794.3642      0.429
Canonical                          30   -2794.3233      1.000
Canonical                          31   -2794.3203      0.857
Canonical                          32   -2794.2529      0.857
Canonical                          33   -2793.7365      0.857
Canonical                          34   -2793.6874      0.857
Canonical                          35   -2793.6114      0.571
Canonical                          36   -2793.4807      0.571
Canonical                          37   -2793.8812      1.000
Canonical                          38   -2793.8829      0.571
Canonical                          39   -2793.8314      0.429
Canonical                          40   -2793.8763      0.429
Canonical                          41   -2794.1212      0.857
Canonical                          42   -2794.0511      0.857
Canonical                          43   -2794.1442      0.571
Canonical                          44   -2794.2261      1.000
Canonical                          45   -2794.2200      0.714
Canonical                          46   -2794.2577      0.286
Canonical                          47   -2794.1700      0.571
Canonical                          48   -2794.2979      0.571
Canonical                          49   -2794.3082      0.571
Canonical                          50   -2794.1679      0.714
Canonical                          51   -2794.3160      0.857
Canonical                          52   -2794.2609      0.429
Canonical                          53   -2794.2184      0.286
Canonical                          54   -2794.2475      0.571
Canonical                          55   -2794.2226      0.714
Canonical                          56   -2794.2079      0.714
Canonical                          57   -2794.0863      0.714
